business,title,where,when,apply,remote,requisits,requisits_compleixes,requisits_no_compleixes,numero_requisits,numero_requisits_compleixes,numero_requisits_no_compleixes
RavenPack,MLOps Engineer for AI Solutions Platform,"Zaragoza, Aragón, España",Publicado de nuevo hace 2 días,31 solicitudes,Híbrido,"['Capacidad de análisis', 'Ciencias de la computación', 'Comunicación', 'Desarrollo de software', 'Habilidades sociales', 'Resolución de problemas', 'Automatización\nAñadir', 'MLOps\nAñadir', 'Necesidades empresariales\nAñadir', 'Pruebas de integración\nAñadir']","['Capacidad de análisis', 'Ciencias de la computación', 'Comunicación', 'Desarrollo de software', 'Habilidades sociales', 'Resolución de problemas']","['Automatización\nAñadir', 'MLOps\nAñadir', 'Necesidades empresariales\nAñadir', 'Pruebas de integración\nAñadir']",10.0,6.0,4.0
Sartorius,Senior Developer - Generative AI (x|f|m) - Hybrid,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,16 solicitudes,Híbrido,"['Ciencias de la computación', 'Desarrollo de software', 'Inteligencia artificial', 'Java', 'Python', 'Bases de datos\nAñadir', 'IA generativa\nAñadir', 'Language Modeling\nAñadir', 'Large Language Models (LLM)\nAñadir', 'Microsoft Azure\nAñadir']","['Ciencias de la computación', 'Desarrollo de software', 'Inteligencia artificial', 'Java', 'Python']","['Bases de datos\nAñadir', 'IA generativa\nAñadir', 'Language Modeling\nAñadir', 'Large Language Models (LLM)\nAñadir', 'Microsoft Azure\nAñadir']",10.0,5.0,5.0
Celonis,Associate Data Science & Management Consultant (UK) - Orbit Program,"Madrid, Comunidad de Madrid, España",hace 2 semanas,29 solicitudes,Jornada completa,"['Comunicación', 'Inglés', 'Analítica\nAñadir', 'Build Strong Relationships\nAñadir', 'Consultoría de gestión\nAñadir', 'Decisiones de inversión\nAñadir', 'Gobierno de datos\nAñadir', 'Preparación de casos empresariales\nAñadir', 'Presentaciones\nAñadir', 'Soluciones tecnológicas\nAñadir']","['Comunicación', 'Inglés']","['Analítica\nAñadir', 'Build Strong Relationships\nAñadir', 'Consultoría de gestión\nAñadir', 'Decisiones de inversión\nAñadir', 'Gobierno de datos\nAñadir', 'Preparación de casos empresariales\nAñadir', 'Presentaciones\nAñadir', 'Soluciones tecnológicas\nAñadir']",10.0,2.0,8.0
Axpe Consulting,Consultor de MLOps en AWS y Azure,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 días,15 solicitudes,Jornada completa,"['Git', 'Integración continua y entrega continua (CI/CD)', 'AWS Lambda\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Arquitectura de software\nAñadir', 'Gestión de configuración de software\nAñadir', 'Infraestructura en la nube\nAñadir', 'MLOps\nAñadir', 'Microsoft Azure\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Secuencia de comandos\nAñadir', 'Supervisión de aplicaciones\nAñadir']","['Git', 'Integración continua y entrega continua (CI/CD)']","['AWS Lambda\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Arquitectura de software\nAñadir', 'Gestión de configuración de software\nAñadir', 'Infraestructura en la nube\nAñadir', 'MLOps\nAñadir', 'Microsoft Azure\nAñadir', 'Microsoft Azure Machine Learning\nAñadir', 'Secuencia de comandos\nAñadir', 'Supervisión de aplicaciones\nAñadir']",12.0,2.0,10.0
Applus+ IDIADA,"Business Intelligence Developer, Tarragona","Tarragona, Cataluña, España",hace 2 semanas,21 solicitudes,Híbrido,"['Ciencias de la computación', 'Matemáticas', 'Panel de control', 'SQL', 'Analítica\nAñadir', 'Bases de datos\nAñadir', 'Expresiones de análisis de datos (DAX)\nAñadir', 'Procedimientos de almacenado\nAñadir', 'Qlik Sense\nAñadir', 'SQL Server Analysis Services (SSAS)\nAñadir']","['Ciencias de la computación', 'Matemáticas', 'Panel de control', 'SQL']","['Analítica\nAñadir', 'Bases de datos\nAñadir', 'Expresiones de análisis de datos (DAX)\nAñadir', 'Procedimientos de almacenado\nAñadir', 'Qlik Sense\nAñadir', 'SQL Server Analysis Services (SSAS)\nAñadir']",10.0,4.0,6.0
Cogstate,"Local Expert Advisor (LEAD), Consulting Psychologist, Clinical Trials",España,hace 7 minutos,0 solicitudes,En remoto,"['Inglés', 'Consultoría\nAñadir', 'Demencia\nAñadir', 'Ensayos clínicos\nAñadir', 'Evaluaciones psicológicas\nAñadir', 'Evaluación clínica\nAñadir', 'Evaluación cognitiva\nAñadir', 'Neurociencia\nAñadir', 'Procesos judiciales\nAñadir', 'Psicología\nAñadir']",['Inglés'],"['Consultoría\nAñadir', 'Demencia\nAñadir', 'Ensayos clínicos\nAñadir', 'Evaluaciones psicológicas\nAñadir', 'Evaluación clínica\nAñadir', 'Evaluación cognitiva\nAñadir', 'Neurociencia\nAñadir', 'Procesos judiciales\nAñadir', 'Psicología\nAñadir']",10.0,1.0,9.0
UNSW,Lecturer / Senior Lecturer in Computer Science and Engineering,"Barcelona, Cataluña, España",Publicado de nuevo hace 3 semanas,35 solicitudes,Jornada completa,"['Informática gráfica', 'Inteligencia artificial', 'Aprendizaje electrónico\nAñadir', 'Aptitudes para la supervisión\nAñadir', 'Clases magistrales\nAñadir', 'Comités\nAñadir', 'Docencia\nAñadir', 'Empleabilidad\nAñadir', 'Pedagogía\nAñadir', 'Tecnología educativa\nAñadir']","['Informática gráfica', 'Inteligencia artificial']","['Aprendizaje electrónico\nAñadir', 'Aptitudes para la supervisión\nAñadir', 'Clases magistrales\nAñadir', 'Comités\nAñadir', 'Docencia\nAñadir', 'Empleabilidad\nAñadir', 'Pedagogía\nAñadir', 'Tecnología educativa\nAñadir']",10.0,2.0,8.0
Vicomtech,Desarrollador de software y devops en inteligencia artificial,"País Vasco / Euskadi, España",Publicado de nuevo hace 1 semana,59 solicitudes,Jornada completa,"['Desarrollo front end', 'Desarrollo web back end', 'Docker', 'Investigación y desarrollo (I+D)', 'Control de versiones\nAñadir', 'Programación neurolingüística (PNL)\nAñadir']","['Desarrollo front end', 'Desarrollo web back end', 'Docker', 'Investigación y desarrollo (I+D)']","['Control de versiones\nAñadir', 'Programación neurolingüística (PNL)\nAñadir']",6.0,4.0,2.0
SDG Group España,Snowflake Engineer,"Galicia / Galiza, España",Publicado de nuevo hace 1 semana,6 solicitudes,Híbrido,"['Python', 'SQL', 'Almacenamiento de datos\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Airflow\nAñadir', 'Arquitectura de datos\nAñadir', 'Data Build Tool (DBT)\nAñadir', 'Google BigQuery\nAñadir', 'Modelado de datos\nAñadir', 'Snowflake cloud\nAñadir']","['Python', 'SQL']","['Almacenamiento de datos\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Airflow\nAñadir', 'Arquitectura de datos\nAñadir', 'Data Build Tool (DBT)\nAñadir', 'Google BigQuery\nAñadir', 'Modelado de datos\nAñadir', 'Snowflake cloud\nAñadir']",10.0,2.0,8.0
SDG Group España,Data Manager Strategy,Barcelona y alrededores,Publicado de nuevo hace 2 semanas,95 solicitudes,Híbrido,"['Inglés', 'Visualización de datos', 'Consultoría estratégica\nAñadir', 'Desarrollo de programas\nAñadir', 'Desarrollo de proyectos\nAñadir', 'Economía\nAñadir', 'Ejecución de proyectos\nAñadir', 'Gestión de proyectos\nAñadir', 'Gobierno de datos\nAñadir', 'Tendencias tecnológicas\nAñadir']","['Inglés', 'Visualización de datos']","['Consultoría estratégica\nAñadir', 'Desarrollo de programas\nAñadir', 'Desarrollo de proyectos\nAñadir', 'Economía\nAñadir', 'Ejecución de proyectos\nAñadir', 'Gestión de proyectos\nAñadir', 'Gobierno de datos\nAñadir', 'Tendencias tecnológicas\nAñadir']",10.0,2.0,8.0
Oho Group Ltd,NoC Engineer,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 día,22 solicitudes,Jornada completa,"['Bash', 'Python', 'AXI\nAñadir', 'Chip Architecture\nAñadir', 'Diseño RTL\nAñadir', 'Diseño de redes\nAñadir', 'Diseño físico\nAñadir', 'Perl\nAñadir', 'Sistema en un chip (SoC)\nAñadir', 'SystemVerilog\nAñadir', 'VHDL\nAñadir', 'Verilog\nAñadir']","['Bash', 'Python']","['AXI\nAñadir', 'Chip Architecture\nAñadir', 'Diseño RTL\nAñadir', 'Diseño de redes\nAñadir', 'Diseño físico\nAñadir', 'Perl\nAñadir', 'Sistema en un chip (SoC)\nAñadir', 'SystemVerilog\nAñadir', 'VHDL\nAñadir', 'Verilog\nAñadir']",12.0,2.0,10.0
Havas Media Network España ,Senior Data Scientist,Madrid y alrededores,hace 1 semana,21 solicitudes,Jornada completa,"['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Python', 'R (Lenguaje de programación)', 'Visualización de datos']","['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Python', 'R (Lenguaje de programación)', 'Visualización de datos']",[],10.0,10.0,0.0
Arsys,Ingeniero/a de Monitorización para nuestro Data Center,"Logroño, La Rioja, España",Publicado de nuevo hace 4 días,29 solicitudes,Híbrido,"['Desarrollo de software', 'Microsoft SQL Server', 'BACnet\nAñadir', 'Controlador lógico programable\nAñadir', 'Grafana\nAñadir', 'Indicadores clave de desempeño\nAñadir', 'Modbus\nAñadir', 'Node-RED\nAñadir', 'S7\nAñadir', 'Trabajo en equipo\nAñadir']","['Desarrollo de software', 'Microsoft SQL Server']","['BACnet\nAñadir', 'Controlador lógico programable\nAñadir', 'Grafana\nAñadir', 'Indicadores clave de desempeño\nAñadir', 'Modbus\nAñadir', 'Node-RED\nAñadir', 'S7\nAñadir', 'Trabajo en equipo\nAñadir']",10.0,2.0,8.0
Atos,Quantum Computing Engineer,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 1 semana,Más de 100 solicitudes,Jornada completa,"['Ciencias de la computación', 'Desarrollo de software', 'Hojas de estilos en cascada (CSS)', 'Inglés', 'Microsoft SQL Server', 'MySQL', 'Programación orientada a objetos (POO)', 'Python', 'jQuery', 'SDKs\nAñadir']","['Ciencias de la computación', 'Desarrollo de software', 'Hojas de estilos en cascada (CSS)', 'Inglés', 'Microsoft SQL Server', 'MySQL', 'Programación orientada a objetos (POO)', 'Python', 'jQuery']",['SDKs\nAñadir'],10.0,9.0,1.0
TD SYNNEX Spain,Forum ETSEIB & TD SYNNEX,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,34 solicitudes,Híbrido,"['Java', 'Python', 'React.js', 'Competencia cultural\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Google Cloud\nAñadir', 'Incorporación de personal\nAñadir', 'Microsoft Azure\nAñadir', 'Peer-to-peer\nAñadir', 'Productos SAP\nAñadir']","['Java', 'Python', 'React.js']","['Competencia cultural\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Google Cloud\nAñadir', 'Incorporación de personal\nAñadir', 'Microsoft Azure\nAñadir', 'Peer-to-peer\nAñadir', 'Productos SAP\nAñadir']",10.0,3.0,7.0
RavenPack,MLOps Engineer for AI Solutions Platform,"Sevilla, Andalucía, España",Publicado de nuevo hace 2 días,43 solicitudes,Híbrido,"['Capacidad de análisis', 'Ciencias de la computación', 'Comunicación', 'Desarrollo de software', 'Habilidades sociales', 'Resolución de problemas', 'Automatización\nAñadir', 'MLOps\nAñadir', 'Necesidades empresariales\nAñadir', 'Pruebas de integración\nAñadir']","['Capacidad de análisis', 'Ciencias de la computación', 'Comunicación', 'Desarrollo de software', 'Habilidades sociales', 'Resolución de problemas']","['Automatización\nAñadir', 'MLOps\nAñadir', 'Necesidades empresariales\nAñadir', 'Pruebas de integración\nAñadir']",10.0,6.0,4.0
Sartorius,Lead Developer - Generative AI (x|f|m) - Hybrid,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,22 solicitudes,Híbrido,"['Ciencias de la computación', 'Desarrollo de software', 'Desarrollo web back end', 'Inteligencia artificial', 'Arquitectura de software\nAñadir', 'IA generativa\nAñadir', 'Language Modeling\nAñadir', 'Large Language Models (LLM)\nAñadir', 'Proyectos de software\nAñadir', 'Servidor de correo\nAñadir']","['Ciencias de la computación', 'Desarrollo de software', 'Desarrollo web back end', 'Inteligencia artificial']","['Arquitectura de software\nAñadir', 'IA generativa\nAñadir', 'Language Modeling\nAñadir', 'Large Language Models (LLM)\nAñadir', 'Proyectos de software\nAñadir', 'Servidor de correo\nAñadir']",10.0,4.0,6.0
Viatris,Omnichannel Data Scientist / Sr. Analyst (Based Anywhere in Europe),Lérida y alrededores,hace 2 semanas,45 solicitudes,En remoto,"['Analítica de datos', 'Ciencia de datos', 'Comunicación', 'Estadística', 'Modelos estadísticos', 'Resolución de problemas', 'Alteryx\nAñadir', 'Commercial Development\nAñadir', 'Necesidades empresariales\nAñadir', 'Presentaciones\nAñadir']","['Analítica de datos', 'Ciencia de datos', 'Comunicación', 'Estadística', 'Modelos estadísticos', 'Resolución de problemas']","['Alteryx\nAñadir', 'Commercial Development\nAñadir', 'Necesidades empresariales\nAñadir', 'Presentaciones\nAñadir']",10.0,6.0,4.0
Profile Software Services,Product Manager,España,Publicado de nuevo hace 1 semana,Más de 100 solicitudes,En remoto,"['Azure Databricks\nAñadir', 'Lean Startup\nAñadir', 'PySpark\nAñadir']",[],"['Azure Databricks\nAñadir', 'Lean Startup\nAñadir', 'PySpark\nAñadir']",3.0,0.0,3.0
Kantar,Senior Data Science Executive,"Sant Cugat del Vallès, Cataluña, España",hace 2 semanas,20 solicitudes,Híbrido,"['Ciencias de la computación', 'Matemáticas', 'Analítica\nAñadir', 'Asesor técnico\nAñadir', 'Atención al detalle\nAñadir', 'Clientes internos y externos\nAñadir', 'Conocimientos comerciales\nAñadir', 'External Clients\nAñadir', 'Investigación de mercado\nAñadir', 'Regresión logística\nAñadir']","['Ciencias de la computación', 'Matemáticas']","['Analítica\nAñadir', 'Asesor técnico\nAñadir', 'Atención al detalle\nAñadir', 'Clientes internos y externos\nAñadir', 'Conocimientos comerciales\nAñadir', 'External Clients\nAñadir', 'Investigación de mercado\nAñadir', 'Regresión logística\nAñadir']",10.0,2.0,8.0
NielsenIQ,Data Engineer,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 días,72 solicitudes,Híbrido,"['Analítica de datos', 'Ciencia de datos', 'Ingeniería de datos', 'SQL', 'Apache Spark\nAñadir', 'Arquitectura de datos\nAñadir', 'Canalizaciones de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Modelado de datos\nAñadir']","['Analítica de datos', 'Ciencia de datos', 'Ingeniería de datos', 'SQL']","['Apache Spark\nAñadir', 'Arquitectura de datos\nAñadir', 'Canalizaciones de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Modelado de datos\nAñadir']",10.0,4.0,6.0
Celonis,Associate Data Science & Management Consultant (MENA) - Orbit Program,"Madrid, Comunidad de Madrid, España",hace 2 semanas,18 solicitudes,Jornada completa,"['Comunicación', 'Analítica\nAñadir', 'Build Strong Relationships\nAñadir', 'Calidad de datos\nAñadir', 'Decisiones de inversión\nAñadir', 'Gestión de objeciones\nAñadir', 'Gobierno de datos\nAñadir', 'Preparación de casos empresariales\nAñadir', 'Presentaciones\nAñadir', 'Soluciones tecnológicas\nAñadir']",['Comunicación'],"['Analítica\nAñadir', 'Build Strong Relationships\nAñadir', 'Calidad de datos\nAñadir', 'Decisiones de inversión\nAñadir', 'Gestión de objeciones\nAñadir', 'Gobierno de datos\nAñadir', 'Preparación de casos empresariales\nAñadir', 'Presentaciones\nAñadir', 'Soluciones tecnológicas\nAñadir']",10.0,1.0,9.0
KPMG España,Consultor/a Data Governance,"Barcelona, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Análisis de datos', 'Big data', 'Almacenamiento de datos\nAñadir', 'Blockchain\nAñadir', 'DAMA\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Lagos de datos\nAñadir', 'Tecnología de almacenamiento de datos\nAñadir']","['Análisis de datos', 'Big data']","['Almacenamiento de datos\nAñadir', 'Blockchain\nAñadir', 'DAMA\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Lagos de datos\nAñadir', 'Tecnología de almacenamiento de datos\nAñadir']",9.0,2.0,7.0
RavenPack,Senior Quantitative Researcher - QIS,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 semana,33 solicitudes,Híbrido,"['Ciencia de datos', 'Inglés', 'Minería de datos', 'Python', 'Resolución de problemas', 'SQL', 'Backtesting\nAñadir', 'Contraste de hipótesis\nAñadir', 'Datasets\nAñadir', 'Estrategias de inversión bursátil\nAñadir']","['Ciencia de datos', 'Inglés', 'Minería de datos', 'Python', 'Resolución de problemas', 'SQL']","['Backtesting\nAñadir', 'Contraste de hipótesis\nAñadir', 'Datasets\nAñadir', 'Estrategias de inversión bursátil\nAñadir']",10.0,6.0,4.0
MANGO,Senior Data Scientist -NLP,"Palau-solità i Plegamans, Cataluña, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Jornada completa,"['Aprendizaje automático', 'Desarrollo de software', 'Procesamiento de lenguaje natural', 'PyTorch', 'Python', 'TensorFlow', 'Amazon Web Services (AWS)\nAñadir', 'Desarrollo de proyectos\nAñadir', 'Google Cloud\nAñadir', 'Microsoft Azure\nAñadir']","['Aprendizaje automático', 'Desarrollo de software', 'Procesamiento de lenguaje natural', 'PyTorch', 'Python', 'TensorFlow']","['Amazon Web Services (AWS)\nAñadir', 'Desarrollo de proyectos\nAñadir', 'Google Cloud\nAñadir', 'Microsoft Azure\nAñadir']",10.0,6.0,4.0
Inetum,Data Engineer Spark/Scala,"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 días,66 solicitudes,Híbrido,"['Apache Kafka\nAñadir', 'IBM Cloud Object Storage\nAñadir', 'Scala in Spark\nAñadir']",[],"['Apache Kafka\nAñadir', 'IBM Cloud Object Storage\nAñadir', 'Scala in Spark\nAñadir']",3.0,0.0,3.0
Client Server,Senior Machine Learning Engineer Python AWS,"Madrid, Comunidad de Madrid, España",hace 4 días,23 solicitudes,Híbrido,"['Aprendizaje automático', 'Inglés', 'Python', 'Amazon Web Services (AWS)\nAñadir', 'Desarrollo guiado por pruebas\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir', 'Microservicios\nAñadir', 'Patrones de diseño\nAñadir', 'Prácticas recomendadas en ingeniería de software\nAñadir']","['Aprendizaje automático', 'Inglés', 'Python']","['Amazon Web Services (AWS)\nAñadir', 'Desarrollo guiado por pruebas\nAñadir', 'MLOps\nAñadir', 'MLflow\nAñadir', 'Microservicios\nAñadir', 'Patrones de diseño\nAñadir', 'Prácticas recomendadas en ingeniería de software\nAñadir']",10.0,3.0,7.0
SDG Group España,Snowflake Engineer,Madrid y alrededores,Publicado de nuevo hace 2 semanas,31 solicitudes,Híbrido,"['Python', 'SQL', 'Almacenamiento de datos\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Airflow\nAñadir', 'Arquitectura de datos\nAñadir', 'Data Build Tool (DBT)\nAñadir', 'Google BigQuery\nAñadir', 'Modelado de datos\nAñadir', 'Snowflake cloud\nAñadir']","['Python', 'SQL']","['Almacenamiento de datos\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Airflow\nAñadir', 'Arquitectura de datos\nAñadir', 'Data Build Tool (DBT)\nAñadir', 'Google BigQuery\nAñadir', 'Modelado de datos\nAñadir', 'Snowflake cloud\nAñadir']",10.0,2.0,8.0
Sibelco Group,Data Steward,Bilbao y alrededores,hace 2 semanas,11 solicitudes,Híbrido,"['Comunicación', 'Limpieza de datos', 'Calidad de datos\nAñadir', 'Comunicación escrita\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Datos maestros\nAñadir', 'Estándares de datos\nAñadir', 'Gobierno de datos\nAñadir', 'Indicadores clave de desempeño\nAñadir', 'Mantenimiento de datos\nAñadir']","['Comunicación', 'Limpieza de datos']","['Calidad de datos\nAñadir', 'Comunicación escrita\nAñadir', 'Contabilidad exigida por ley\nAñadir', 'Datos maestros\nAñadir', 'Estándares de datos\nAñadir', 'Gobierno de datos\nAñadir', 'Indicadores clave de desempeño\nAñadir', 'Mantenimiento de datos\nAñadir']",10.0,2.0,8.0
MCA España,Big Data Engineering (W/M),"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Base de datos relacional', 'Ingeniería informática', 'Java', 'MySQL', 'Python', 'SQL', 'Analítica\nAñadir', 'Bases de datos\nAñadir', 'Hive\nAñadir', 'Scala\nAñadir']","['Base de datos relacional', 'Ingeniería informática', 'Java', 'MySQL', 'Python', 'SQL']","['Analítica\nAñadir', 'Bases de datos\nAñadir', 'Hive\nAñadir', 'Scala\nAñadir']",10.0,6.0,4.0
Devoteam,GCP Data Architect,"Madrid, Comunidad de Madrid, España",hace 21 horas,1 solicitud,En remoto,"['Arquitectura de datos\nAñadir', 'Buena práctica clínica\nAñadir', 'Computación en la nube\nAñadir', 'Datos empresariales\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Google BigQuery\nAñadir', 'Google Cloud\nAñadir', 'Presentaciones\nAñadir', 'Requisitos técnicos\nAñadir']",[],"['Arquitectura de datos\nAñadir', 'Buena práctica clínica\nAñadir', 'Computación en la nube\nAñadir', 'Datos empresariales\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Gobierno de datos\nAñadir', 'Google BigQuery\nAñadir', 'Google Cloud\nAñadir', 'Presentaciones\nAñadir', 'Requisitos técnicos\nAñadir']",10.0,0.0,10.0
Microsoft,Software Engineer – Cloud Data Warehouse- Barcelona (Spain),"Barcelona, Cataluña, España",hace 2 semanas,43 solicitudes,Híbrido,"['C#', 'C++', 'Ciencias de la computación', 'Java', 'JavaScript', 'Programación en C', 'Python', 'Fiabilidad\nAñadir', 'Functionality\nAñadir', 'Requisitos del usuario\nAñadir']","['C#', 'C++', 'Ciencias de la computación', 'Java', 'JavaScript', 'Programación en C', 'Python']","['Fiabilidad\nAñadir', 'Functionality\nAñadir', 'Requisitos del usuario\nAñadir']",10.0,7.0,3.0
"Bluetab, an IBM Company",Data Architect,España,hace 1 día,17 solicitudes,En remoto,"['Big data', 'Python', 'Amazon EMR\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Azure Data Factory\nAñadir', 'Azure Databricks\nAñadir', 'Computación en la nube\nAñadir', 'Microsoft Azure\nAñadir', 'Scala\nAñadir']","['Big data', 'Python']","['Amazon EMR\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Apache Spark\nAñadir', 'Azure Data Factory\nAñadir', 'Azure Databricks\nAñadir', 'Computación en la nube\nAñadir', 'Microsoft Azure\nAñadir', 'Scala\nAñadir']",10.0,2.0,8.0
BestSecret Group,(Senior) Data Engineer (m/f/d),España,hace 1 semana,66 solicitudes,En remoto,"['Ciencias de la computación', 'Container Orchestration', 'Ingeniería de datos', 'Airflow\nAñadir', 'Almacenamiento de datos\nAñadir', 'Apache Kafka\nAñadir', 'Automatización\nAñadir', 'Datos empresariales\nAñadir', 'Datos en tiempo real\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir']","['Ciencias de la computación', 'Container Orchestration', 'Ingeniería de datos']","['Airflow\nAñadir', 'Almacenamiento de datos\nAñadir', 'Apache Kafka\nAñadir', 'Automatización\nAñadir', 'Datos empresariales\nAñadir', 'Datos en tiempo real\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir']",10.0,3.0,7.0
Havas Media Network España ,Global Data Science Manager,"Madrid, Comunidad de Madrid, España",hace 2 días,22 solicitudes,Híbrido,"['Big data', 'Ciencia de datos', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Python', 'Amazon Web Services (AWS)\nAñadir', 'Azure Databricks\nAñadir', 'Estructuras de datos\nAñadir', 'Google Cloud\nAñadir', 'IA generativa\nAñadir']","['Big data', 'Ciencia de datos', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Python']","['Amazon Web Services (AWS)\nAñadir', 'Azure Databricks\nAñadir', 'Estructuras de datos\nAñadir', 'Google Cloud\nAñadir', 'IA generativa\nAñadir']",10.0,5.0,5.0
ID Finance,Product Analyst,"Barcelona, Cataluña, España",hace 2 semanas,84 solicitudes,Híbrido,"['Microsoft Power BI', 'MySQL', 'Python', 'Base de datos SQL\nAñadir', 'Pruebas A/B\nAñadir', 'Tableau\nAñadir']","['Microsoft Power BI', 'MySQL', 'Python']","['Base de datos SQL\nAñadir', 'Pruebas A/B\nAñadir', 'Tableau\nAñadir']",6.0,3.0,3.0
TELUS Digital AI Data Solutions,Online Data Analyst,"Gerona, Cataluña, España",hace 2 semanas,21 solicitudes,En remoto,"['Capacidad de análisis', 'Español', 'Inglés', 'Aseguramiento de la calidad\nAñadir', 'Investigación\nAñadir']","['Capacidad de análisis', 'Español', 'Inglés']","['Aseguramiento de la calidad\nAñadir', 'Investigación\nAñadir']",5.0,3.0,2.0
Inetum,Data Engineering H/M,"Carreño, Principado de Asturias, España",Publicado de nuevo hace 1 semana,46 solicitudes,Jornada completa,"['Big data', 'Gestión de datos', 'Ingeniería de datos', 'Oracle Database', 'PostgreSQL', 'SQL', 'Sistema de gestión de bases de datos (SGBD)', 'Visualización de datos', 'Disparadores de base de datos\nAñadir', 'Modelado de datos\nAñadir']","['Big data', 'Gestión de datos', 'Ingeniería de datos', 'Oracle Database', 'PostgreSQL', 'SQL', 'Sistema de gestión de bases de datos (SGBD)', 'Visualización de datos']","['Disparadores de base de datos\nAñadir', 'Modelado de datos\nAñadir']",10.0,8.0,2.0
ERHARDT Serikat,Jefe/a de Proyectos BIG DATA,España,hace 2 semanas,Más de 100 solicitudes,En remoto,"['Big data', 'Ingeniería de datos', 'Liderazgo de equipos', 'Analítica\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Liderazgo de proyectos\nAñadir']","['Big data', 'Ingeniería de datos', 'Liderazgo de equipos']","['Analítica\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'Liderazgo de proyectos\nAñadir']",6.0,3.0,3.0
EMPORSIS AIE,Tècnic/a Desenvolupament Informàtic,"Palamós, Cataluña, España",hace 3 semanas,15 solicitudes,Jornada completa,"['jQuery', 'AJAX\nAñadir', 'JavaServer Pages\nAñadir']",['jQuery'],"['AJAX\nAñadir', 'JavaServer Pages\nAñadir']",3.0,1.0,2.0
"FDS, A DXC Technology Company",Data engineer con Snowflake,"Barcelona, Cataluña, España",hace 1 semana,25 solicitudes,Híbrido,"['Ciencia de datos', 'Ingeniería de datos', 'SQL', 'Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Bóveda de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'FDS\nAñadir', 'Snowflake\nAñadir', 'Snowflake cloud\nAñadir']","['Ciencia de datos', 'Ingeniería de datos', 'SQL']","['Almacenamiento de datos\nAñadir', 'Bases de datos\nAñadir', 'Bóveda de datos\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'FDS\nAñadir', 'Snowflake\nAñadir', 'Snowflake cloud\nAñadir']",10.0,3.0,7.0
